"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.383299265E2,3.511986919E1,1.368911080E2,2.612436685E0,4.123110171E1,5.869352847E1,1.449442023E2,6.384327655E0,1.458364046E1,9.578009412E0,-1.000000000E0
1.393299334E2,3.511942298E1,1.368914998E2,2.734772523E0,4.135429418E1,5.868418659E1,1.441349227E2,6.442477574E0,1.462106332E1,9.520784666E0,-1.000000000E0
1.403299376E2,3.511902017E1,1.368919076E2,2.667205171E0,4.128762437E1,5.843714062E1,1.428450525E2,6.501839051E0,1.467765361E1,9.433308955E0,-1.000000000E0
1.413299428E2,3.511860004E1,1.368923103E2,2.794098333E0,4.141540046E1,5.852396901E1,1.424457394E2,6.560728624E0,7.577051787E0,1.656007316E0,-1.000000000E0
1.423299505E2,3.511819310E1,1.368927246E2,2.953809913E0,4.157602273E1,5.851964926E1,1.415611140E2,6.622984906E0,9.092997238E0,1.662708473E0,-1.000000000E0
1.433299553E2,3.511781342E1,1.368932277E2,2.754295558E0,4.137762667E1,5.942458955E1,1.389258364E2,6.670587027E0,9.523333290E0,1.659320463E0,-1.000000000E0
1.443299589E2,3.511744821E1,1.368935007E2,3.714384601E0,4.233830284E1,5.662024523E1,1.402737150E2,6.727909909E0,9.985712502E0,1.726488945E0,-1.000000000E0
1.453299633E2,3.511704695E1,1.368938964E2,5.136995364E0,4.376177925E1,5.675127574E1,1.404657075E2,6.785270139E0,1.175061618E1,1.723089898E0,-1.000000000E0
1.463299681E2,3.511664847E1,1.368942969E2,3.433745950E0,4.205940610E1,5.694360924E1,1.406094766E2,6.842530721E0,1.623561368E1,6.389497768E0,-1.000000000E0
1.473299699E2,3.511625235E1,1.368946992E2,2.376103745E0,4.100264373E1,5.707401581E1,1.405764977E2,6.899793289E0,1.681844425E1,4.643357227E0,-1.000000000E0
1.483299711E2,3.511585944E1,1.368951061E2,2.125200258E0,4.075263049E1,5.713934794E1,1.403836796E2,6.953434214E0,1.836653444E1,1.790287261E0,-1.000000000E0
1.493299714E2,3.511552466E1,1.368955307E2,1.868116644E0,4.049648443E1,5.649733396E1,1.393011589E2,7.014602072E0,2.030266534E1,1.713918771E0,-1.000000000E0
1.503299742E2,3.511513929E1,1.368960106E2,1.370218490E0,3.999964406E1,5.715313402E1,1.384066888E2,7.099883483E0,2.209887768E1,1.709727750E0,-1.000000000E0
1.513299764E2,3.511512956E1,1.368969482E2,8.158802427E-1,3.944746702E1,5.804460239E1,1.285354737E2,7.523512375E0,1.875713474E1,3.503283240E0,-1.000000000E0
1.525599542E2,3.511315032E1,1.369009278E2,2.841365949E0,4.148185161E1,5.950947902E1,1.215498555E2,7.584665494E0,1.810994643E1,2.021697102E0,-1.000000000E0
1.535599556E2,3.511294476E1,1.369015514E2,3.401062534E0,4.204295383E1,5.954462750E1,1.203948056E2,7.647146297E0,1.770474515E1,3.220726513E0,-1.000000000E0
