種類,メーカー,シリーズ,記号,シリーズ,容量（GB）,型番,価格,確認日,備考,AmazonのURL,読出速度（MB/s）,書込速度（MB/s）,スピードクラス,接続,幅（mm）,奥行き（mm）,高さ（mm）,重量（g）,保証（年）,ケーブル,品名
type,maker,series,prefix,series,storage,model,price,date,remarks,url,speed_read,speed_write,speed_class,usb,width,depth,height,weight,warranty,cable,name
SSD,エレコム,,EL,ED,120,ESD-ED0120GBK,2853,2020-05-07,,https://www.amazon.co.jp/dp/B07GTGQY11,410,400,,USB3.2 (gen1),54,93,9,35,1,USB-A,
SSD,エレコム,,EL,ED,240,ESD-ED0240GBK,4800,2020-05-07,,https://www.amazon.co.jp/dp/B07GT1G54W,410,400,,USB3.2 (gen1),54,93,9,35,1,USB-A,
SSD,エレコム,,EL,ED,480,ESD-ED0480GBK,7190,2020-05-07,,https://www.amazon.co.jp/dp/B07GSS2LNJ,410,400,,USB3.2 (gen1),54,93,9,35,1,USB-A,
SSD,エレコム,,EL,ED,960,ESD-ED0960GBK,12000,2020-05-07,,https://www.amazon.co.jp/dp/B07QTMJ4JK,410,400,,USB3.2 (gen1),54,93,9,35,1,USB-A,
SSD,Samsung,,SM,T7,500,MU-PC500K/EC,18162,2020-05-07,,https://www.amazon.co.jp/dp/B0842YLV1D,1050,1000,,USB3.2 (gen2),57,85,8,58,3,USB-A/USB-C,
SSD,Samsung,,SM,T7,1000,MU-PC1T0K/EC,27253,2020-05-07,,https://www.amazon.co.jp/dp/B0842YHG4Q,1050,1000,,USB3.2 (gen2),57,85,8,58,3,USB-A/USB-C,
SSD,Samsung,,SM,T7,2000,MU-PC2T0K/EC,49980,2020-05-07,,https://www.amazon.co.jp/dp/B0842YC5WX,1050,1000,,USB3.2 (gen2),57,85,8,58,3,USB-A/USB-C,
SSD,Samsung,,SM,T5,500,MU-PA500R/EC,9188,2021-08-16,,https://www.amazon.co.jp/dp/B07XCNWV2W,540,540,,USB3.2 (gen2),57.3,74,10.5,51,3,USB-A/USB-C,
SSD,Samsung,,SM,T5,1000,MU-PA1T0R/EC,13490,2021-08-16,,https://www.amazon.co.jp/dp/B07XCNX6SD,540,540,,USB3.2 (gen2),57.3,74,10.5,51,3,USB-A/USB-C,
SSD,Samsung,,SM,T5,2000,MU-PA2T0B/IT,24731,2021-08-16,,https://www.amazon.co.jp/dp/B074PMK2G3,540,540,,USB3.2 (gen2),57.3,74,10.5,51,3,USB-A/USB-C,
SSD,Samsung,,SM,X5,500,MU-PB500B/EC,32121,2020-05-07,,https://www.amazon.co.jp/dp/B07H8HXRQV,2800,2300,,Thunderbolt3,62,119,20,150,3,Thunderbolt,
